127.0.0.1 - - [10/Nov/2022:20:21:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:21:14 +0530] "GET /com.website/signIn.jsp HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:21:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:21:54 +0530] "POST /com.website/signin HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:16 +0530] "POST /com.website/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:16 +0530] "GET /com.website/home.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:16 +0530] "GET /com.website/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:16 +0530] "GET /com.website/sql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:16 +0530] "GET /com.website/hibernate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:22:33 +0530] "GET /com.website/home.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:23:49 +0530] "GET /com.website/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:23:49 +0530] "GET /com.website/signIn.jsp HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:23:53 +0530] "GET /com.website/signup.jsp HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:24:03 +0530] "POST /com.website/signup HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:24:44 +0530] "POST /com.website/signup HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:25:36 +0530] "POST /com.website/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:25:36 +0530] "GET /com.website/home.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:27:44 +0530] "GET /com.website/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:27:44 +0530] "GET /com.website/signIn.jsp HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:27:55 +0530] "POST /com.website/signin HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:28:21 +0530] "POST /com.website/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:28:21 +0530] "GET /com.website/home.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:28:34 +0530] "GET /com.website/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:20:28:34 +0530] "GET /com.website/signIn.jsp HTTP/1.1" 200 2194
